NAME, INSTRUCTIONS, IMAGE
Daiquiri, Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass., https://commons.wikimedia.org/wiki/File:Classic_Daiquiri_in_Cocktail_Glass.jpg
Mojito, Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw., https://pixabay.com/photos/cocktail-mojito-cocktail-recipe-5096281/
